CEFR Level,Grade Band,Day Number,Day / Topic,Question,Answer
A1,4th-7th,1,Introductions Day,I say {blank} when I meet a new classmate.,hello
A1,4th-7th,1,Introductions Day,My {blank} is Sarah. What is yours?,name
A1,4th-7th,1,Introductions Day,I tell people about my {blank} when I introduce myself.,country
A1,4th-7th,1,Introductions Day,My best {blank} sits next to me at camp.,friend
A1,4th-7th,1,Introductions Day,We say {blank} when summer camp ends.,goodbye
A1,4th-7th,2,Prepositions / Directions Day,Turn {blank} at the corner to find the library.,left
A1,4th-7th,2,Prepositions / Directions Day,The store is on your {blank} side of the street.,right
A1,4th-7th,2,Prepositions / Directions Day,Look {blank}. The bird is in the tree.,up
A1,4th-7th,2,Prepositions / Directions Day,The ball rolled {blank} the hill.,down
A1,4th-7th,2,Prepositions / Directions Day,The school is {blank}. We can walk there.,near
A1,4th-7th,3,Emotions Day,I feel {blank} when I get a good grade.,happy
A1,4th-7th,3,Emotions Day,She feels {blank} before she speaks in front of the class.,nervous
A1,4th-7th,3,Emotions Day,He looks {blank} because his toy broke.,sad
A1,4th-7th,3,Emotions Day,We feel {blank} on the last day of camp.,excited
A1,4th-7th,3,Emotions Day,"After running, I feel very {blank}.",tired
A1,4th-7th,4,Mystery Day,The {blank} helps us find the missing keys.,clue
A1,4th-7th,4,Mystery Day,Can you {blank} who took the book?,guess
A1,4th-7th,4,Mystery Day,A good {blank} asks many questions.,detective
A1,4th-7th,4,Mystery Day,We need an {blank} to finish the puzzle.,answer
A1,4th-7th,4,Mystery Day,The {blank} is hard to solve without hints.,mystery
A1,4th-7th,5,Holiday Celebrations Day,We {blank} my birthday with cake and songs.,celebrate
A1,4th-7th,5,Holiday Celebrations Day,She gave me a {blank} wrapped in blue paper.,gift
A1,4th-7th,5,Holiday Celebrations Day,Our family has a special {blank} every New Year.,tradition
A1,4th-7th,5,Holiday Celebrations Day,We listen to {blank} at the holiday party.,music
A1,4th-7th,5,Holiday Celebrations Day,They {blank} the room with lights and flowers.,decorate
A1,4th-7th,6,Community Day (Part 1),A {blank} cooks food in a restaurant.,chef
A1,4th-7th,6,Community Day (Part 1),A {blank} helps sick people at the hospital.,doctor
A1,4th-7th,6,Community Day (Part 1),A {blank} teaches us English at school.,teacher
A1,4th-7th,6,Community Day (Part 1),A {blank} puts out fires to keep us safe.,firefighter
A1,4th-7th,6,Community Day (Part 1),A {blank} takes care of animals when they are sick.,vet
A1,4th-7th,7,Community Day (Part 2),I borrow books from the {blank}.,library
A1,4th-7th,7,Community Day (Part 2),We play outside in the {blank} after lunch.,park
A1,4th-7th,7,Community Day (Part 2),Children go to {blank} to learn every day.,school
A1,4th-7th,7,Community Day (Part 2),We buy fruit at the {blank} on Main Street.,store
A1,4th-7th,7,Community Day (Part 2),We eat dinner at a {blank} on Friday nights.,restaurant
A1,4th-7th,8,Animals Day,A {blank} says meow and likes to sleep in the sun.,cat
A1,4th-7th,8,Animals Day,A {blank} wags its tail and likes to fetch a ball.,dog
A1,4th-7th,8,Animals Day,A {blank} lives in the ocean and is very smart.,dolphin
A1,4th-7th,8,Animals Day,A {blank} has a long trunk and big ears.,elephant
A1,4th-7th,8,Animals Day,A {blank} swims in rivers and lakes.,fish
A1,4th-7th,9,Sports Day,We play {blank} with a ball and a net.,volleyball
A1,4th-7th,9,Sports Day,An {blank} trains every day to get stronger.,athlete
A1,4th-7th,9,Sports Day,Our {blank} worked together and won the game.,team
A1,4th-7th,9,Sports Day,I like to {blank} soccer after school.,play
A1,4th-7th,9,Sports Day,We {blank} the game because we scored more points.,win
A1,4th-7th,10,Water Day,Fish live in the {blank}.,ocean
A1,4th-7th,10,Water Day,We {blank} in the pool on hot days.,swim
A1,4th-7th,10,Water Day,My towel is {blank} after I get out of the water.,wet
A1,4th-7th,10,Water Day,We build sand castles on the {blank}.,beach
A1,4th-7th,10,Water Day,I drink {blank} when I am thirsty.,water
A1,4th-7th,11,Food Day,I eat an {blank} for a healthy snack.,apple
A1,4th-7th,11,Food Day,Monkeys love to eat a yellow {blank}.,banana
A1,4th-7th,11,Food Day,We make a {blank} with lettuce and tomato.,salad
A1,4th-7th,11,Food Day,I spread butter on my {blank} in the morning.,bread
A1,4th-7th,11,Food Day,We drink orange {blank} at breakfast.,juice
